"POOL","NAME","BYTES"
"shared pool","ksb cic process list",2440
"shared pool","ksb process so list",2440
"shared pool","kfiac_sg",2432
"shared pool","kcbi memory desc",2424
"shared pool","file # to first dba, exte",2416
"shared pool","gc granule chunks",2400
"shared pool","KTU latch cleanup",2400
"shared pool","post stats",2368
"shared pool","KMMSGPDBSA",2360
"shared pool","cross-platform compliance",2336
"shared pool","VIEW",2304
"shared pool","INC_METER_PK_IMPTS",2304
"shared pool","PDB_PROBLEM",2304
"shared pool","IPS_PACKAGE_UNPACK_HISTOR",2304
"shared pool","vproblem_bucket_count",2304
"shared pool","INC_METER_IMPT_DEF",2304
"shared pool","kfnvsgasmbs",2304
"shared pool","IPS_FILE_COPY_LOG",2304
"shared pool","KEWR PDB SGA - UMF MDB En",2288
"shared pool","enqueue state object",2240
"shared pool","KTTE File Cache",2184
"shared pool","KKJ SGA",2168
"shared pool","session migration enqueue",2160
"shared pool","ksbtnfy: infrequent actio",2128
"shared pool","INCCKEY",2112
"shared pool","IPS_PACKAGE_INCIDENT",2112
"shared pool","DFW_CONFIG_ITEM",2112
"shared pool","IPS_FILE_METADATA",2112
"shared pool","vproblem_bucket",2112
"shared pool","SWEEPERR",2112
"shared pool","IPS_REMOTE_PACKAGE",2112
"shared pool","vips_file_metadata",2112
"shared pool","vproblem_bucket1",2112
